4.335937500000000000e-01 1.955800414085388184e+00 6.289062500000000000e-01 1.855665326118469238e+00 2.076193261146545410e+01
6.005859375000000000e-01 1.419401049613952637e+00 7.597656250000000000e-01 1.212761521339416504e+00 4.752104282379150391e-01
6.601562500000000000e-01 1.078080415725708008e+00 8.261718750000000000e-01 7.808377146720886230e-01 5.212452411651611328e-01
7.451171875000000000e-01 7.802437543869018555e-01 8.398437500000000000e-01 5.801743268966674805e-01 4.707808494567871094e-01
7.841796875000000000e-01 6.923613548278808594e-01 8.701171875000000000e-01 4.820534884929656982e-01 4.828510284423828125e-01
8.251953125000000000e-01 6.067807078361511230e-01 8.808593750000000000e-01 4.248568117618560791e-01 4.767186641693115234e-01
8.378906250000000000e-01 5.329013466835021973e-01 8.964843750000000000e-01 3.792966604232788086e-01 5.154538154602050781e-01
8.408203125000000000e-01 5.393476486206054688e-01 8.955078125000000000e-01 3.592344820499420166e-01 4.969100952148437500e-01
8.378906250000000000e-01 4.976966083049774170e-01 9.013671875000000000e-01 3.429445028305053711e-01 5.036602020263671875e-01
8.681640625000000000e-01 4.550523161888122559e-01 9.052734375000000000e-01 3.317361176013946533e-01 4.693298339843750000e-01
8.583984375000000000e-01 4.614461958408355713e-01 9.062500000000000000e-01 3.117142617702484131e-01 4.712576866149902344e-01
8.857421875000000000e-01 3.876687884330749512e-01 9.072265625000000000e-01 3.030892312526702881e-01 4.879014492034912109e-01
8.652343750000000000e-01 4.451047480106353760e-01 9.179687500000000000e-01 2.892634570598602295e-01 5.004053115844726562e-01
8.789062500000000000e-01 4.168013930320739746e-01 9.208984375000000000e-01 2.803609967231750488e-01 4.841475486755371094e-01
8.779296875000000000e-01 4.401042461395263672e-01 9.140625000000000000e-01 2.764703035354614258e-01 4.911406040191650391e-01
8.730468750000000000e-01 4.141767621040344238e-01 9.218750000000000000e-01 2.663865983486175537e-01 4.929981231689453125e-01
